ticker,name,volume_ratio,resistance_price,buy_date,buy_price,sell_date,sell_price,sell_reason,holding_trading_days,return_pct,open_position
053980,오상자이엘,90.02,5200.0,20220706,6212.4,20220706,6013.98,-3%손절,0,-3.19,False
372800,아이티아이즈,31.46,9780.0,20220706,11623.2,20220706,12179.95,+5%익절,0,4.79,False
377220,프롬바이오,44.17,7000.0,20220706,7765.5,20220706,8137.47,+5%익절,0,4.79,False
049830,승일,34.14,10400.0,20220707,11773.5,20220707,11397.45,-3%손절,0,-3.19,False
262840,아이퀘스트,103.59,7500.0,20220707,10470.9,20220707,10136.46,-3%손절,0,-3.19,False
332570,PS일렉트로닉스,52.5,4160.0,20220707,4739.46,20220707,4588.08,-3%손절,0,-3.19,False
377220,프롬바이오,29.31,8190.0,20220707,9018.0,20220707,8729.97,-3%손절,0,-3.19,False
039020,이건홀딩스,64.56,3720.0,20220708,4148.28,20220708,4015.78,-3%손절,0,-3.19,False
134790,시디즈,197.33,44250.0,20220708,63727.2,20220708,61691.75,-3%손절,0,-3.19,False
254120,자비스,82.75,1760.0,20220708,1833.66,20220708,1775.09,-3%손절,0,-3.19,False
005360,모나미,109.71,3355.0,20220711,4128.24,20220711,3996.38,-3%손절,0,-3.19,False
022220,티케이지애강,60.03,1630.0,20220706,1853.7,20220711,1942.49,+5%익절,3,4.79,False
014970,삼륭물산,45.41,5400.0,20220711,6012.0,20220712,5819.98,-3%손절,1,-3.19,False
064850,에프앤가이드,49.68,7290.0,20220712,7404.78,20220712,7168.27,-3%손절,0,-3.19,False
225530,HC보광산업,82.6,5490.0,20220708,6593.16,20220712,6382.57,-3%손절,2,-3.19,False
328380,솔트웨어,96.9,2195.0,20220712,2344.68,20220712,2456.99,+5%익절,0,4.79,False
013700,까뮤이앤씨,50.61,1925.0,20220712,2224.44,20220713,2153.39,-3%손절,1,-3.19,False
078140,대봉엘에스,157.11,7620.0,20220713,9118.2,20220713,8826.96,-3%손절,0,-3.19,False
205500,넥써쓰,57.5,2750.0,20220713,3041.07,20220713,3186.74,+5%익절,0,4.79,False
307870,비투엔,100.8,2130.0,20220713,2905.8,20220713,2812.99,-3%손절,0,-3.19,False
308170,씨티알모빌리티,64.83,13250.0,20220713,15531.0,20220713,15034.94,-3%손절,0,-3.19,False
000040,KR모터스,34.96,718.0,20220714,758.51,20220714,794.85,+5%익절,0,4.79,False
009520,포스코엠텍,56.26,5440.0,20220714,5881.74,20220714,5693.88,-3%손절,0,-3.19,False
065570,삼영이엔씨,123.14,4890.0,20220714,5611.2,20220714,5431.98,-3%손절,0,-3.19,False
000390,SP삼화,35.03,6670.0,20220714,6913.8,20220715,6692.97,-3%손절,1,-3.19,False
012790,신일제약,74.58,9830.0,20220714,10070.1,20220715,10552.46,+5%익절,1,4.79,False
045060,오공,155.36,3590.0,20220715,3877.74,20220715,3753.88,-3%손절,0,-3.19,False
069640,한세엠케이,49.51,3525.0,20220718,3867.72,20220718,3744.19,-3%손절,0,-3.19,False
