screening_month,screening_date,ticker,name,composite_score,turnaround_status,signal_volume_dryness,signal_accumulation,signal_short_covering,signal_pbr_low,signal_dividend_yield,signal_relative_strength,signal_volatility_squeeze,signal_volume_surge,signal_ma_breakout,signal_short_term_breakout,signal_relative_strength_accel,signal_accumulation_accel,excluded,exclude_reason,buy_date,buy_price,reached_5pct,days_to_5pct,reached_7pct,days_to_7pct,reached_10pct,days_to_10pct,max_drawdown_pct
2023-07,20230703,003550,LG,71.5,confirmed_turnaround,24.0,100.0,33.4,96.2,86.5,63.6,98.1,0.0,61.89400782896718,81.28342245989302,62.35663077759519,56.731491145015724,False,,20230704,89800.0,False,,False,,False,,-9.8
2023-07,20230703,024110,기업은행,69.2,confirmed_turnaround,27.1,86.4,80.0,69.2,,59.3,98.1,0.0,71.3418296585088,100.0,51.968053146872094,100.0,False,,20230704,10370.0,False,,False,,False,,-3.38
2023-07,20230703,370090,퓨런티어,68.7,confirmed_turnaround,0.0,100.0,,87.5,,100.0,47.1,0.0,100.0,51.612903225806406,66.40258839637177,100.0,False,,20230704,28000.0,True,9,True,9,True,9,-7.68
2023-07,20230703,100090,SK오션플랜트,67.4,confirmed_turnaround,34.0,100.0,100.0,53.8,,49.3,49.0,0.0,74.6579367077982,74.77064220183486,14.798739573952627,100.0,False,,20230704,20750.0,True,12,True,12,True,15,-4.19
2023-07,20230703,213420,덕산네오룩스,66.1,confirmed_turnaround,30.1,100.0,81.3,59.6,,24.6,87.5,11.197789469277247,73.00310471351962,81.99152542372879,100.0,100.0,False,,20230704,45250.0,True,2,False,,False,,-14.81
2023-07,20230703,000660,SK하이닉스,65.2,confirmed_turnaround,0.0,78.7,100.0,61.5,,100.0,63.5,0.0,100.0,92.05020920502093,43.209966163920214,52.775097302679875,False,,20230704,118200.0,True,18,True,18,False,,-7.19
2023-07,20230703,294090,이오플로우,80.1,watching,36.9,100.0,100.0,96.6,,46.6,99.0,0.0,100.0,96.50349650349654,79.83481815546185,27.66447339017899,False,,20230704,26546.0,False,,False,,False,,-16.43
2023-07,20230703,011070,LG이노텍,76.1,watching,24.1,100.0,100.0,55.8,98.1,76.3,96.2,0.0,100.0,92.90220820189276,41.79288219972228,29.449056352548514,False,,20230704,312500.0,False,,False,,False,,-18.88
2023-07,20230703,348210,넥스틴,73.6,watching,0.0,100.0,94.9,86.2,7.7,97.4,93.3,0.0,100.0,81.78391959798994,29.88832975821383,47.139819685395054,False,,20230704,76700.0,True,15,True,17,True,17,-9.52
2023-07,20230703,272290,이녹스첨단소재,72.4,watching,25.8,100.0,100.0,88.5,76.9,28.1,81.7,0.0,24.99302906031741,19.251336898395692,32.134735904373,0.0,False,,20230704,39300.0,True,11,True,11,True,12,-8.91
