screening_month,screening_date,ticker,name,composite_score,turnaround_status,signal_volume_dryness,signal_accumulation,signal_short_covering,signal_pbr_low,signal_dividend_yield,signal_relative_strength,signal_volatility_squeeze,signal_volume_surge,signal_ma_breakout,signal_short_term_breakout,signal_relative_strength_accel,signal_accumulation_accel,excluded,exclude_reason,buy_date,buy_price,reached_5pct,days_to_5pct,reached_7pct,days_to_7pct,reached_10pct,days_to_10pct,max_drawdown_pct
2026-01,20260101,035720,카카오,72.4,confirmed_turnaround,37.3,100.0,100.0,47.2,,57.2,87.3,11.312031024508507,33.59156741655634,43.870014771048744,60.0039029001826,100.0,False,,20260102,60100.0,True,1,False,,False,,-7.65
2026-01,20260101,034730,SK,72.3,confirmed_turnaround,36.5,100.0,100.0,32.1,,74.1,88.2,0.0,89.93960584869674,58.85509838998211,34.84217938757263,52.566160590895585,False,,20260102,256500.0,True,1,True,1,True,2,-1.75
2026-01,20260101,071050,한국금융지주,67.2,confirmed_turnaround,36.2,100.0,100.0,17.0,,47.6,96.1,0.0,40.48501035239068,43.4997257268239,54.64152935710504,100.0,False,,20260102,161700.0,True,1,True,2,True,9,-2.72
2026-01,20260101,348210,넥스틴,65.5,confirmed_turnaround,0.0,100.0,33.1,83.0,38.5,100.0,80.4,0.0,100.0,73.0263157894737,84.83442578596008,100.0,False,,20260102,71400.0,True,12,True,16,True,16,-5.18
2026-01,20260101,107640,한중엔시에스,78.9,watching,25.3,100.0,99.4,58.8,,100.0,97.1,0.0,72.1849132529695,25.271739130434767,35.556013194368916,0.0,False,,20260102,47250.0,True,14,True,14,True,18,-13.44
2026-01,20260101,195870,해성디에스,73.1,watching,0.0,100.0,100.0,71.7,58.5,100.0,76.5,0.0,100.0,76.06837606837601,100.0,0.0,False,,20260102,55100.0,True,16,True,16,True,18,-15.88
2026-01,20260101,039490,키움증권,71.9,watching,52.3,100.0,100.0,9.4,,78.2,84.3,0.0,91.80089885852912,63.2,40.219163398127435,0.0,False,,20260102,289500.0,True,0,True,2,True,2,-2.59
2026-01,20260101,018260,삼성에스디에스,70.9,watching,34.4,100.0,87.3,43.4,,66.2,88.2,0.0,60.25033631631281,54.18432203389827,36.21858094481496,41.87605067337154,False,,20260102,171300.0,True,2,True,7,False,,-6.25
2026-01,20260101,004170,신세계,70.1,watching,0.0,100.0,100.0,52.8,,93.6,77.5,0.0,100.0,65.16007532956685,3.094839160094967,0.0,False,,20260102,247000.0,True,3,True,5,True,6,-8.3
2026-01,20260101,003490,대한항공,69.7,watching,31.2,100.0,48.2,98.1,75.0,38.6,85.3,26.801311307013087,67.57910283368386,90.21739130434781,80.69313175706328,0.0,False,,20260102,22600.0,True,10,True,10,True,10,-4.42
2026-01,20260101,060250,NHN KCP,69.6,watching,72.9,89.9,100.0,50.9,,0.0,90.2,0.0,0.0,0.0,100.0,0.0,False,,20260102,14880.0,True,2,True,2,True,15,-5.98
2026-01,20260101,009520,포스코엠텍,69.6,watching,0.0,100.0,97.5,34.0,,100.0,94.1,0.0,80.72287655678834,68.54599406528195,51.23902173665991,0.0,False,,20260102,15800.0,True,3,True,7,True,9,-5.32
2026-01,20260101,475150,SK이터닉스,69.5,watching,35.1,100.0,100.0,71.4,,18.3,78.4,0.0,59.763741562198646,23.312883435582847,26.4447222149894,0.0,False,,20260102,20700.0,True,26,True,26,True,26,-8.99
2026-01,20260101,025980,아난티,69.4,watching,35.0,100.0,100.0,73.6,,0.0,96.1,0.47566438999666616,12.998164793226435,0.0,23.19270921577106,0.0,False,,20260102,7840.0,True,0,True,20,True,25,-3.83
2026-01,20260101,326030,SK바이오팜,67.3,watching,0.0,84.3,100.0,46.9,,100.0,89.2,0.0,85.3071672354949,42.78606965174127,63.959124557640365,0.0,False,,20260102,125200.0,False,,False,,False,,-15.26
2026-01,20260101,035900,JYP Ent.,66.9,watching,47.2,94.5,12.8,92.5,84.9,71.1,69.6,29.395071477425656,30.172333812682623,27.05882352941174,42.554452718546976,100.0,False,,20260102,75200.0,True,1,False,,False,,-11.17
2026-01,20260101,005850,에스엘,66.6,watching,0.0,100.0,100.0,67.9,86.8,41.3,79.4,0.0,100.0,63.74458874458874,5.445008192713777,0.0,False,,20260102,43250.0,True,3,True,5,True,7,-4.62
2026-01,20260101,011070,LG이노텍,66.5,watching,19.3,71.5,98.5,77.4,,86.1,56.9,0.0,100.0,60.10186757215621,0.0,0.0,False,,20260102,272000.0,True,4,True,8,False,,-16.91
2026-01,20260101,001120,LX인터내셔널,66.3,watching,28.7,100.0,100.0,75.5,,17.9,55.9,0.0,94.37674790251698,72.38372093023258,36.15725083052236,0.0,False,,20260102,32550.0,True,8,True,9,True,9,-2.76
2026-01,20260101,112610,씨에스윈드,65.8,watching,29.1,100.0,89.7,98.1,,0.0,53.9,0.0,43.54604739531189,47.79332615715823,0.0,0.0,False,,20260102,41500.0,True,23,True,23,False,,-6.02
2026-01,20260101,237690,에스티팜,65.4,watching,0.0,100.0,100.0,50.9,5.1,99.3,50.0,0.0,100.0,51.173353520060516,0.0,3.5178828312001142,False,,20260102,118100.0,True,1,True,2,True,4,-5.0
2026-01,20260101,011200,HMM,65.1,watching,30.8,100.0,36.7,64.2,,46.4,99.0,0.0,72.02482859009669,83.49056603773583,64.74655105501682,0.0,False,,20260102,20600.0,True,28,False,,False,,-5.87
2026-02,20260202,025980,아난티,80.3,confirmed_turnaround,51.9,100.0,100.0,67.9,,68.7,89.2,30.733127891614515,97.9647844032669,72.05707491082045,57.38295773179198,57.12852340970193,False,,20260203,8020.0,True,3,True,3,True,3,-11.22
2026-02,20260202,079160,CJ CGV,71.1,watching,0.0,100.0,100.0,66.0,,85.7,73.5,12.762370150984129,82.66972688289634,47.4885844748858,59.29688779489085,0.0,False,,20260203,5990.0,False,,False,,False,,-22.29
2026-02,20260202,230360,에코마케팅,70.7,watching,0.0,100.0,100.0,49.1,,84.1,99.0,0.0,100.0,98.74450721908346,0.0,0.0,False,,20260203,15900.0,False,,False,,False,,-0.69
2026-05,20260501,012510,더존비즈온,75.2,confirmed_turnaround,100.0,100.0,100.0,11.3,,44.6,71.8,100.0,100.0,100.0,100.0,100.0,False,,20260504,120100.0,True,18,True,18,True,18,-3.83
2026-05,20260501,039200,오스코텍,79.9,watching,65.7,91.8,100.0,45.3,,76.7,79.6,0.1358229879193799,43.81049912939464,38.44856661045533,0.0,95.70597326688733,False,,20260504,52700.0,False,,False,,False,,-29.32
2026-06,20260601,089970,브이엠,67.2,confirmed_turnaround,27.8,100.0,100.0,1.9,,100.0,68.3,0.883416460828886,100.0,21.450151057401783,99.60433186266621,59.36774114299735,False,,20260602,55500.0,True,1,True,1,True,1,-5.77
2026-06,20260601,340570,티앤엘,69.9,watching,0.0,85.4,100.0,94.3,100.0,100.0,47.5,0.0,85.27130622267475,33.58778625954194,0.0,18.478193151975304,False,,20260602,58000.0,True,5,False,,False,,-13.97
2026-06,20260601,145020,휴젤,66.6,watching,8.3,100.0,100.0,52.8,,100.0,16.8,0.0,52.81803542673107,21.18644067796609,0.0,0.0,False,,20260602,238500.0,True,1,True,1,True,1,-6.29
