screening_month,screening_date,ticker,name,composite_score,turnaround_status,signal_volume_dryness,signal_accumulation,signal_short_covering,signal_pbr_low,signal_dividend_yield,signal_relative_strength,signal_volatility_squeeze,signal_volume_surge,signal_ma_breakout,signal_short_term_breakout,signal_relative_strength_accel,signal_accumulation_accel,excluded,exclude_reason,buy_date,buy_price,reached_5pct,days_to_5pct,reached_7pct,days_to_7pct,reached_10pct,days_to_10pct,max_drawdown_pct
2022-07,20220701,004370,농심,76.6,confirmed_turnaround,17.6,100.0,96.5,98.1,75.0,67.9,78.6,18.265916382968296,16.32283645557985,46.00938967136152,83.43221087852638,100.0,False,,20220704,285000.0,True,26,True,26,False,,-4.74
2022-07,20220701,069620,대웅제약,68.0,confirmed_turnaround,41.4,100.0,100.0,50.0,30.8,89.8,16.5,31.006118804982147,38.76543209876544,71.3896457765668,100.0,69.47269170085917,False,,20220704,175000.0,True,11,True,11,True,18,-2.57
2022-07,20220701,003230,삼양식품,67.7,confirmed_turnaround,11.2,79.3,100.0,86.5,96.2,90.3,30.1,0.0,72.4687144482366,79.26267281105986,49.76202686684784,100.0,False,,20220704,105000.0,True,25,True,25,True,26,-4.76
2022-07,20220701,277810,레인보우로보틱스,67.4,confirmed_turnaround,0.0,100.0,,86.7,,69.9,74.8,13.487033246434788,96.48458675147263,67.89883268482491,49.08424728023254,59.824082800207826,False,,20220704,24300.0,True,18,True,19,True,20,-11.11
2022-07,20220701,000720,현대건설,66.9,confirmed_turnaround,13.9,100.0,83.7,80.8,82.7,77.5,20.4,21.496037323399086,18.54953248905196,56.236323851203515,49.65059663731287,100.0,False,,20220704,42250.0,True,27,True,27,True,27,-14.56
2022-07,20220701,089860,롯데렌탈,78.2,watching,48.9,100.0,,77.8,88.9,65.7,87.4,14.774071929711704,0.0,0.0,21.137620872822296,75.7412769046494,False,,20220704,37150.0,True,12,True,15,False,,-3.63
2022-07,20220701,298380,에이비엘바이오,73.9,watching,50.5,100.0,100.0,0.0,,85.2,59.2,25.84323091419258,59.10844653913679,42.16417910447767,9.568836029355223,0.0,False,,20220704,23850.0,True,2,True,2,True,5,-10.69
2022-07,20220701,033780,KT&G,69.2,watching,0.0,100.0,100.0,98.1,88.5,87.9,5.8,0.0,48.19604535657382,77.29918509895228,43.43603880210296,0.0,False,,20220704,82300.0,False,,False,,False,,-2.79
2022-07,20220701,282330,BGF리테일,68.9,watching,15.0,95.0,100.0,76.7,,84.9,31.1,24.792067680009332,58.61103523627424,75.36945812807879,87.92355430890976,26.239127259194333,False,,20220704,190500.0,False,,False,,False,,-12.6
2022-07,20220701,009830,한화솔루션,67.8,watching,0.0,100.0,94.0,51.9,,100.0,58.3,3.7975124346567877,100.0,69.90171990171994,50.349583663534716,0.0,False,,20220704,45247.0,True,18,True,18,True,19,-19.77
2022-07,20220701,079550,LIG디펜스앤에어로스페이스,66.5,watching,41.4,99.1,95.6,17.3,,100.0,26.2,0.0,34.2159557354224,36.635944700460854,67.2104859762871,0.0,False,,20220704,76400.0,True,15,True,16,True,19,-14.66
2022-07,20220701,004990,롯데지주,65.1,watching,0.0,98.8,24.3,94.2,,100.0,62.1,0.0,100.0,100.0,61.8768667632978,34.951811723567,False,,20220704,37950.0,False,,False,,False,,-16.21
2022-08,20220801,081660,미스토홀딩스,70.6,confirmed_turnaround,58.1,98.5,41.5,88.5,,57.3,53.8,0.0,47.538033621815714,70.404984423676,41.97480797073412,56.48707107217758,False,,20220802,30300.0,True,8,True,8,False,,-2.97
2022-08,20220801,004990,롯데지주,69.5,confirmed_turnaround,0.0,100.0,100.0,92.3,,100.0,10.6,0.0,72.24381235874544,95.34574468085104,100.0,100.0,False,,20220802,37300.0,True,6,True,16,True,19,-2.82
2022-08,20220801,003550,LG,67.1,confirmed_turnaround,2.4,100.0,46.2,90.4,94.2,100.0,39.4,0.0,86.61017192800884,95.11599511599513,69.57727059135011,100.0,False,,20220802,80300.0,True,8,False,,False,,-4.73
2022-08,20220801,016380,KG스틸,73.8,watching,56.6,93.4,100.0,86.5,69.2,0.0,98.1,0.0,0.0,0.0,79.45281788311289,0.0,False,,20220802,12600.0,True,6,True,17,True,17,-22.94
2022-08,20220801,034220,LG디스플레이,73.7,watching,35.8,100.0,95.0,73.1,95.5,34.9,87.5,0.0,0.0,34.285714285714306,17.372813075957076,0.0,False,,20220802,14095.0,True,3,True,7,True,8,-2.96
2022-08,20220801,008930,한미사이언스,71.2,watching,0.0,93.6,100.0,82.7,81.8,57.3,99.0,0.0,0.0,6.063618290258432,31.909718521113252,0.0,False,,20220802,39857.0,True,4,True,20,True,26,-3.32
2022-08,20220801,018260,삼성에스디에스,70.5,watching,16.7,100.0,75.0,96.2,98.1,46.0,67.3,0.0,9.134179510426108,47.98657718120808,46.004966511289446,0.0,False,,20220802,133500.0,False,,False,,False,,-9.36
2022-08,20220801,068270,셀트리온,70.5,watching,0.0,100.0,58.0,92.3,33.3,88.6,99.0,0.0,100.0,93.4210526315789,60.76782699838685,19.03879897162346,False,,20220802,158797.0,True,3,True,4,True,5,-6.92
2022-08,20220801,161890,한국콜마,70.0,watching,41.4,100.0,27.8,96.2,98.1,30.1,97.1,1.9176441494325995,30.282070987390856,36.026936026936056,51.75083657441411,0.0,False,,20220802,38850.0,False,,False,,False,,-6.44
2022-08,20220801,141080,리가켐바이오,69.7,watching,0.0,100.0,48.5,94.2,,75.9,99.0,0.0,95.25569155693572,48.38373305526588,36.5567610226208,0.0,False,,20220802,42850.0,True,2,True,2,True,3,-7.58
2022-08,20220801,006280,녹십자,69.5,watching,26.8,100.0,71.4,73.1,,49.6,86.5,0.0,46.54699399271558,46.614583333333286,0.0,0.0,False,,20220802,172500.0,False,,False,,False,,-13.91
2022-08,20220801,128940,한미약품,67.6,watching,0.0,100.0,69.2,69.2,65.9,78.1,88.5,0.0,79.26971780194106,74.53703703703702,46.38731475878628,0.0,False,,20220802,297736.0,True,4,False,,False,,-8.09
2022-09,20220901,007070,GS리테일,71.3,confirmed_turnaround,9.7,100.0,100.0,94.2,,59.3,55.7,10.295577647762737,65.611912004585,78.7822878228782,65.73436736301093,100.0,False,,20220902,22280.0,True,6,False,,False,,-9.6
2022-09,20220901,034220,LG디스플레이,71.0,confirmed_turnaround,43.6,93.2,100.0,71.2,90.9,41.8,56.6,0.0,73.21942671172869,56.39534883720927,29.92775635674323,100.0,False,,20220902,14511.0,False,,False,,False,,-24.84
2022-09,20220901,032500,케이엠더블유,69.7,confirmed_turnaround,0.0,100.0,100.0,88.5,,87.9,32.1,39.086948537917216,100.0,94.7447447447447,100.0,100.0,False,,20220902,33350.0,True,4,True,4,False,,-33.43
2022-09,20220901,003100,선광,65.2,confirmed_turnaround,0.0,100.0,100.0,0.0,,100.0,99.1,0.0,100.0,97.50747756729815,91.89047625388304,89.45004523283896,False,,20220902,99800.0,True,23,True,28,False,,0.0
2022-09,20220901,023530,롯데쇼핑,71.2,watching,26.6,100.0,100.0,67.3,,46.5,79.2,0.0,53.88879461507997,53.30188679245283,12.729030872092054,0.0,False,,20220902,96200.0,False,,False,,False,,-11.43
2022-09,20220901,373220,LG에너지솔루션,69.9,watching,0.0,100.0,100.0,42.9,,87.6,96.2,1.5896203345056925,100.0,90.4661016949153,69.45390607426212,48.224587841464015,False,,20220902,467500.0,True,1,True,7,True,8,-11.23
2022-09,20220901,068270,셀트리온,69.7,watching,14.0,100.0,60.6,94.2,50.0,95.3,48.1,0.0,82.36794377692135,38.82352941176471,0.0,0.0,False,,20220902,158374.0,False,,False,,False,,-13.6
2022-09,20220901,097950,CJ제일제당,69.4,watching,7.9,100.0,100.0,71.2,78.8,76.1,50.0,0.0,82.35806431180455,67.32788798133022,11.726702271864411,0.0,False,,20220902,401500.0,True,12,False,,False,,-4.48
2022-09,20220901,035900,JYP Ent.,69.3,watching,29.8,100.0,53.5,42.3,79.4,73.7,91.5,0.0,100.0,82.9821717990275,35.11086638314421,0.0,False,,20220902,60200.0,True,4,True,5,False,,-13.46
2022-09,20220901,081660,미스토홀딩스,69.0,watching,23.8,100.0,54.3,86.5,,56.2,81.1,0.0,88.36265223274697,55.705705705705746,70.75848183217022,1.5108033582412674,False,,20220902,30600.0,True,5,True,10,True,11,-4.74
2022-09,20220901,006800,미래에셋증권,67.5,watching,25.3,78.0,85.4,94.2,,42.5,84.9,2.273307924804187,36.711938296445275,22.976501305483055,49.69518949668412,100.0,False,,20220902,6491.0,True,4,True,4,False,,-9.2
2022-09,20220901,008770,호텔신라,67.0,watching,33.0,100.0,62.7,50.0,,53.5,91.5,26.511552313407005,77.19495441488706,67.30769230769234,79.17617364930148,35.17114855342737,False,,20220902,73500.0,True,11,False,,False,,-5.03
2022-09,20220901,000120,CJ대한통운,66.5,watching,0.0,100.0,70.6,94.2,,89.7,29.2,0.0,77.91234550362265,60.9375,5.3210364337607094,0.0,False,,20220902,118000.0,False,,False,,False,,-34.75
2022-09,20220901,066570,LG전자,65.7,watching,25.5,100.0,100.0,48.1,51.9,51.9,59.4,0.0,91.11199154780772,71.98067632850247,9.659783182712115,0.0,False,,20220902,98300.0,False,,False,,False,,-21.46
2022-09,20220901,019170,신풍제약,65.4,watching,37.3,100.0,50.4,42.3,,63.2,84.9,0.0,87.2620963923871,0.0,28.936646685264755,0.0,False,,20220902,27150.0,False,,False,,False,,-32.23
2022-10,20221003,091990,셀트리온헬스케어,73.6,confirmed_turnaround,29.3,100.0,100.0,82.7,80.0,57.6,58.7,37.21452111163826,2.4087548409811355,30.203045685279196,100.0,100.0,False,,20221004,66321.0,False,,False,,False,,-9.29
2022-10,20221003,003230,삼양식품,73.1,confirmed_turnaround,52.1,100.0,56.0,75.0,86.5,55.9,77.9,43.665328824826204,47.42589902388046,51.06382978723403,65.72087268767547,69.44319882149102,False,,20221004,107000.0,True,12,True,21,True,22,-7.38
2022-10,20221003,161890,한국콜마,79.3,watching,46.5,100.0,98.4,98.1,100.0,63.8,47.1,15.293179022862269,52.104760664843994,62.287104622871034,48.879274809752914,6.895467331472593,False,,20221004,38200.0,True,28,False,,False,,-15.58
2022-10,20221003,007070,GS리테일,74.7,watching,15.5,100.0,100.0,92.3,,67.0,69.2,0.0,78.44149459193707,65.45454545454547,0.0,1.4940002851651681,False,,20221004,21895.0,True,21,True,22,True,25,-8.01
2022-10,20221003,039490,키움증권,65.6,watching,44.0,82.9,15.3,98.1,100.0,59.4,68.3,41.715039820124034,15.830220345406362,17.309812568908498,60.36843869636078,0.0,False,,20221004,77300.0,True,9,True,23,True,25,-10.22
2022-11,20221101,195940,HK이노엔,78.3,confirmed_turnaround,79.0,81.0,100.0,84.6,83.3,58.0,63.1,0.0,8.538866871831237,12.698412698412653,60.18332994632409,67.04427000415505,False,,20221102,36600.0,True,10,True,23,False,,-5.19
2022-11,20221101,005690,파미셀,74.8,confirmed_turnaround,50.0,100.0,100.0,90.4,,25.1,66.0,0.0,0.0,0.0,100.0,56.13344541455575,False,,20221102,10350.0,True,7,False,,False,,-6.18
2022-11,20221101,047040,대우건설,73.1,confirmed_turnaround,15.3,100.0,100.0,90.4,,62.1,64.1,27.275060396200985,0.0,0.0,54.166868528374,100.0,False,,20221102,4500.0,True,3,True,3,True,11,-1.89
2022-11,20221101,007070,GS리테일,70.7,confirmed_turnaround,35.2,100.0,61.5,90.4,,76.8,38.8,13.323958571486738,40.13959889893826,76.3636363636364,100.0,100.0,False,,20221102,22237.0,True,2,True,5,True,5,-0.97
2022-11,20221101,028050,삼성E&A,70.6,confirmed_turnaround,0.3,100.0,60.3,69.2,,100.0,98.1,0.0,100.0,88.86639676113361,0.0,78.14737086794219,False,,20221102,24400.0,True,1,True,1,True,4,-8.4
2022-11,20221101,267250,HD현대,67.9,confirmed_turnaround,36.9,84.1,57.1,53.2,,83.0,97.1,12.642148560367769,59.42960111702334,83.38607594936711,57.55422566081021,100.0,False,,20221102,60700.0,True,3,True,20,False,,-0.66
2022-11,20221101,004370,농심,67.1,confirmed_turnaround,23.9,100.0,51.5,75.0,32.7,76.7,74.8,0.0,64.46163059446621,92.77688603531303,80.69831511821059,100.0,False,,20221102,302000.0,True,8,True,13,True,26,-1.32
