ticker,name,score,status,buy_date,buy_price,sell_date,sell_price,sell_reason,holding_trading_days,return_pct,open_position
003230,삼양식품,67.4,confirmed_turnaround,20220701,100500.0,20220701,105525.0,+5%,0,5.0,False
004370,농심,76.6,confirmed_turnaround,20220701,269000.0,20220701,282450.0,+5%,0,5.0,False
069620,대웅제약,69.0,confirmed_turnaround,20220701,178000.0,20220701,169100.0,-5%,0,-5.0,False
277810,레인보우로보틱스,67.4,confirmed_turnaround,20220701,23550.0,20220701,24727.5,+5%,0,5.0,False
000720,현대건설,66.8,confirmed_turnaround,20220701,42000.0,20220704,39900.0,-5%,1,-5.0,False
019170,신풍제약,66.6,confirmed_turnaround,20220711,25050.0,20220711,26302.5,+5%,0,5.0,False
018260,삼성에스디에스,68.2,confirmed_turnaround,20220708,135500.0,20220712,128725.0,-5%,2,-5.0,False
144510,지씨셀,65.1,confirmed_turnaround,20220707,59300.0,20220712,62265.0,+5%,3,5.0,False
145020,휴젤,71.0,confirmed_turnaround,20220712,110000.0,20220712,115500.0,+5%,0,5.0,False
053800,안랩,85.4,confirmed_turnaround,20220712,90000.0,20220713,85500.0,-5%,1,-5.0,False
008930,한미사이언스,70.6,confirmed_turnaround,20220708,41950.0,20220714,39852.5,-5%,4,-5.0,False
192820,코스맥스,70.8,confirmed_turnaround,20220711,61700.0,20220714,64785.0,+5%,3,5.0,False
012330,현대모비스,67.3,confirmed_turnaround,20220713,205000.0,20220718,215250.0,+5%,3,5.0,False
402340,SK스퀘어,67.7,confirmed_turnaround,20220714,40450.0,20220727,42472.5,+5%,9,5.0,False
003220,대원제약,65.1,confirmed_turnaround,20220712,18650.0,20220728,17717.5,-5%,12,-5.0,False
090430,아모레퍼시픽,66.1,confirmed_turnaround,20220726,137500.0,20220728,130625.0,-5%,2,-5.0,False
006280,녹십자,65.3,confirmed_turnaround,20220708,182000.0,20220729,172900.0,-5%,15,-5.0,False
195940,HK이노엔,65.6,confirmed_turnaround,20220720,42500.0,20220801,44625.0,+5%,8,5.0,False
007660,이수페타시스,65.9,confirmed_turnaround,20220804,7670.0,20220808,7286.5,-5%,2,-5.0,False
068270,셀트리온,71.3,confirmed_turnaround,20220801,190500.0,20220808,200025.0,+5%,5,5.0,False
018880,한온시스템,67.9,confirmed_turnaround,20220726,10400.0,20220809,10920.0,+5%,10,5.0,False
051600,한전KPS,66.4,confirmed_turnaround,20220809,39800.0,20220810,41790.0,+5%,1,5.0,False
003550,LG,71.1,confirmed_turnaround,20220727,79000.0,20220811,82950.0,+5%,11,5.0,False
034220,LG디스플레이,66.8,confirmed_turnaround,20220804,15500.0,20220811,16275.0,+5%,5,5.0,False
004990,롯데지주,69.5,confirmed_turnaround,20220729,37450.0,20220812,39322.5,+5%,10,5.0,False
028260,삼성물산,65.9,confirmed_turnaround,20220804,119500.0,20220812,125475.0,+5%,6,5.0,False
081660,미스토홀딩스,71.8,confirmed_turnaround,20220802,30300.0,20220812,31815.0,+5%,8,5.0,False
016380,KG스틸,72.5,confirmed_turnaround,20220812,12800.0,20220816,13440.0,+5%,1,5.0,False
141080,리가켐바이오,72.0,confirmed_turnaround,20220809,49400.0,20220818,46930.0,-5%,6,-5.0,False
253450,스튜디오드래곤,75.3,confirmed_turnaround,20220811,80100.0,20220822,76095.0,-5%,6,-5.0,False
007070,GS리테일,65.0,confirmed_turnaround,20220816,25950.0,20220823,24652.5,-5%,5,-5.0,False
097950,CJ제일제당,70.7,confirmed_turnaround,20220810,426500.0,20220823,405175.0,-5%,8,-5.0,False
128940,한미약품,67.8,confirmed_turnaround,20220816,317000.0,20220823,301150.0,-5%,5,-5.0,False
271560,오리온,73.6,confirmed_turnaround,20220819,109000.0,20220823,103550.0,-5%,2,-5.0,False
004370,농심,66.3,confirmed_turnaround,20220816,295500.0,20220824,310275.0,+5%,6,5.0,False
035900,JYP Ent.,76.2,confirmed_turnaround,20220824,58900.0,20220825,61845.0,+5%,1,5.0,False
003230,삼양식품,66.2,confirmed_turnaround,20220817,115000.0,20220829,109250.0,-5%,8,-5.0,False
021240,코웨이,68.7,confirmed_turnaround,20220714,65200.0,20220829,61940.0,-5%,31,-5.0,False
090460,비에이치,65.2,confirmed_turnaround,20220826,29150.0,20220829,27692.5,-5%,1,-5.0,False
180640,한진칼,65.3,confirmed_turnaround,20220830,59000.0,20220830,56050.0,-5%,0,-5.0,False
032500,케이엠더블유,65.8,confirmed_turnaround,20220826,30900.0,20220901,32445.0,+5%,4,5.0,False
000810,삼성화재,65.8,confirmed_turnaround,20220804,200500.0,20220902,190475.0,-5%,20,-5.0,False
053030,바이넥스,68.1,confirmed_turnaround,20220831,14700.0,20220902,13965.0,-5%,2,-5.0,False
085660,차바이오텍,67.2,confirmed_turnaround,20220831,16750.0,20220902,17587.5,+5%,2,5.0,False
002380,KCC,69.6,confirmed_turnaround,20220823,296500.0,20220907,281675.0,-5%,11,-5.0,False
008770,호텔신라,69.3,confirmed_turnaround,20220826,74100.0,20220907,70395.0,-5%,8,-5.0,False
034730,SK,72.1,confirmed_turnaround,20220812,229000.0,20220907,217550.0,-5%,17,-5.0,False
006800,미래에셋증권,69.1,confirmed_turnaround,20220831,6590.0,20220908,6919.5,+5%,6,5.0,False
004170,신세계,68.5,confirmed_turnaround,20220908,224500.0,20220913,235725.0,+5%,1,5.0,False
