screening_month,screening_date,ticker,name,composite_score,signal_volume_dryness,signal_accumulation,signal_short_covering,signal_pbr_low,signal_dividend_yield,signal_relative_strength,signal_volatility_squeeze,signal_volume_surge,signal_ma_breakout,signal_short_term_breakout,signal_relative_strength_accel,signal_accumulation_accel,excluded,exclude_reason,buy_date,buy_price,reached_5pct,days_to_5pct,reached_7pct,days_to_7pct,reached_10pct,days_to_10pct,max_drawdown_pct
2023-01,20230102,114090,GKL,66.8,0.0,100.0,100.0,23.1,,96.5,93.3,3.7,100.0,92.1,59.5,86.7,False,,20230103,18750.0,True,11,True,13,True,26,-5.33
2023-01,20230102,000490,대동,75.4,0.0,100.0,100.0,50.0,,100.0,59.0,26.7,100.0,79.2,100.0,100.0,False,,20230103,12750.0,True,0,True,3,False,,-7.45
2023-01,20230102,004170,신세계,65.2,0.0,97.1,100.0,90.4,,30.4,39.0,9.0,49.6,65.7,90.7,100.0,False,,20230103,217000.0,True,2,True,4,True,5,-4.15
2023-01,20230102,002790,아모레퍼시픽홀딩스,66.3,0.0,61.1,95.3,94.2,,100.0,69.5,0.0,100.0,80.7,55.4,100.0,False,,20230103,34500.0,True,4,True,4,True,4,-4.64
2023-01,20230102,090430,아모레퍼시픽,67.0,0.0,100.0,7.8,88.5,,100.0,88.6,1.6,100.0,77.0,63.7,100.0,False,,20230103,133500.0,True,3,True,4,True,12,-2.62
2023-01,20230102,192820,코스맥스,65.4,0.0,66.7,0.0,92.3,,100.0,57.1,10.4,100.0,97.3,92.7,100.0,False,,20230103,72400.0,True,5,True,9,True,15,-3.73
2023-01,20230102,010820,퍼스텍,67.1,37.3,51.9,14.3,42.3,,61.3,38.1,100.0,86.6,72.5,100.0,100.0,False,,20230103,3140.0,True,1,True,1,True,4,-1.59
2023-01,20230102,039130,하나투어,65.5,0.0,100.0,86.2,17.3,,66.9,61.0,14.5,100.0,76.0,78.2,100.0,False,,20230103,59500.0,True,9,True,11,True,12,-2.18
2023-01,20230102,088350,한화생명,65.1,1.4,74.2,0.0,71.2,,86.2,28.6,44.3,100.0,76.5,100.0,100.0,False,,20230103,2630.0,True,2,True,2,True,2,-6.65
2023-01,20230102,012450,한화에어로스페이스,66.9,73.6,84.7,86.7,1.9,11.8,100.0,75.2,11.8,100.0,90.7,90.5,55.9,False,,20230103,74972.0,True,7,True,8,True,9,-10.87
2023-01,20230102,069960,현대백화점,72.0,27.4,78.4,100.0,92.3,94.2,61.2,68.6,26.2,76.2,71.5,74.2,100.0,False,,20230103,57800.0,True,2,True,4,True,4,-3.46
2023-01,20230102,008770,호텔신라,68.1,0.0,100.0,100.0,50.0,,65.9,59.0,22.0,100.0,81.7,61.9,100.0,False,,20230103,81300.0,True,3,False,,False,,-2.83
2023-01,20230102,141080,리가켐바이오,76.1,26.7,90.0,52.7,94.2,,100.0,26.7,43.1,100.0,71.3,100.0,100.0,False,,20230103,41800.0,False,,False,,False,,-13.04
2023-02,20230201,271560,오리온,73.1,0.0,73.9,100.0,75.5,51.0,100.0,89.3,0.0,100.0,89.5,100.0,100.0,False,,20230202,125500.0,True,28,False,,False,,-5.18
2023-02,20230201,007660,이수페타시스,66.1,48.2,0.0,100.0,5.8,,100.0,8.7,96.3,100.0,81.8,100.0,100.0,False,,20230202,7351.0,True,4,True,4,True,4,-4.11
2023-02,20230201,005420,코스모화학,65.6,94.9,85.9,100.0,3.8,,24.6,98.1,49.9,51.4,50.8,62.3,75.5,False,,20230202,23270.0,True,3,True,3,True,9,-1.69
2023-02,20230201,000250,삼천당제약,66.1,0.0,34.2,96.3,44.2,,100.0,77.7,23.6,100.0,100.0,82.4,100.0,False,,20230202,50400.0,True,3,True,3,True,19,-7.44
2023-03,20230301,001040,CJ,71.6,0.0,100.0,3.9,80.8,84.6,84.3,77.7,61.1,76.5,97.1,81.4,100.0,False,,20230302,86900.0,True,2,True,4,True,5,-0.92
2023-03,20230301,204320,HL만도,68.0,0.0,100.0,100.0,61.5,,52.4,97.1,0.0,100.0,96.9,52.8,100.0,False,,20230302,47850.0,True,1,True,1,False,,-8.05
2023-03,20230301,011200,HMM,66.4,9.6,100.0,34.2,73.1,44.4,55.4,96.1,34.5,99.2,83.9,45.5,100.0,False,,20230302,22550.0,False,,False,,False,,-13.53
2023-03,20230301,178920,PI첨단소재,68.8,0.0,100.0,0.0,84.6,,72.0,68.0,14.5,100.0,87.4,100.0,100.0,False,,20230302,35000.0,True,9,True,9,True,11,-8.43
2023-03,20230301,251270,넷마블,67.7,0.0,77.0,26.5,90.4,,86.7,94.2,12.0,100.0,78.3,80.6,100.0,False,,20230302,61800.0,True,13,True,19,True,23,-11.65
2023-03,20230301,000150,두산,70.8,43.5,0.0,83.3,57.7,,94.7,47.6,93.7,92.1,100.0,100.0,100.0,False,,20230302,101000.0,True,2,True,2,True,5,-8.02
2023-03,20230301,008560,메리츠증권,70.8,43.0,95.2,13.8,44.2,,91.8,93.2,21.7,100.0,100.0,70.3,100.0,False,,20230302,7000.0,False,,False,,False,,-100.0
2023-03,20230301,004690,삼천리,71.0,27.8,91.2,100.0,0.0,1.9,100.0,80.6,4.6,100.0,100.0,99.9,100.0,False,,20230302,512000.0,False,,False,,False,,-5.76
2023-03,20230301,298690,에어부산,70.2,0.0,100.0,,18.6,,100.0,96.1,0.0,100.0,75.0,100.0,100.0,False,,20230302,4405.0,False,,False,,False,,-20.89
2023-03,20230301,039130,하나투어,70.2,38.8,100.0,27.0,1.9,,88.5,88.3,9.7,100.0,96.9,100.0,100.0,False,,20230302,65200.0,False,,False,,False,,-12.12
2023-03,20230301,267260,HD현대일렉트릭,71.1,41.3,91.2,100.0,0.0,,78.7,94.2,9.0,71.8,80.6,100.0,100.0,False,,20230302,42400.0,True,0,True,0,False,,-12.97
2023-03,20230301,010690,화신,75.0,35.6,90.6,100.0,17.3,,53.8,72.8,43.9,100.0,100.0,100.0,100.0,False,,20230302,9410.0,True,1,True,4,True,4,-1.06
2023-03,20230301,036120,서울평가정보,75.1,96.5,26.7,,59.6,,73.9,39.8,78.3,90.5,82.3,100.0,100.0,False,,20230302,4350.0,True,6,True,6,True,6,-7.59
2023-03,20230301,178320,서진시스템,65.0,27.0,100.0,31.0,78.8,82.5,3.2,99.0,12.8,44.0,53.2,100.0,100.0,False,,20230302,17100.0,True,1,True,1,True,2,-3.27
2023-03,20230301,101490,에스앤에스텍,72.6,0.0,98.8,87.6,40.4,46.0,22.1,96.1,54.4,100.0,91.4,100.0,100.0,False,,20230302,31300.0,True,0,True,0,True,1,-4.15
2023-03,20230301,058630,엠게임,69.6,0.0,55.3,61.2,36.5,,70.5,53.4,100.0,100.0,80.7,100.0,100.0,False,,20230302,8940.0,True,4,False,,False,,-12.3
2023-03,20230301,122870,와이지엔터테인먼트,65.4,0.2,56.4,60.6,15.4,,94.7,60.2,17.2,100.0,100.0,100.0,100.0,False,,20230302,58000.0,True,4,True,4,False,,-11.55
