screening_month,screening_date,ticker,name,composite_score,turnaround_status,signal_volume_dryness,signal_accumulation,signal_short_covering,signal_pbr_low,signal_dividend_yield,signal_relative_strength,signal_volatility_squeeze,signal_volume_surge,signal_ma_breakout,signal_short_term_breakout,signal_relative_strength_accel,signal_accumulation_accel,excluded,exclude_reason,buy_date,buy_price,reached_5pct,days_to_5pct,reached_7pct,days_to_7pct,reached_10pct,days_to_10pct,max_drawdown_pct
2024-01,20240101,097950,CJ제일제당,78.9,confirmed_turnaround,32.4,100.0,100.0,90.2,92.2,50.4,94.1,0.0,100.0,96.93251533742334,13.009063744970753,74.98694676773574,False,,20240102,320500.0,False,,False,,False,,-12.01
2024-01,20240101,302440,SK바이오사이언스,78.2,confirmed_turnaround,60.0,94.1,75.4,93.1,,48.8,89.2,21.537677778994077,100.0,100.0,38.58319388634763,88.4779533342824,False,,20240102,71700.0,False,,False,,False,,-12.83
2024-01,20240101,139480,이마트,77.7,confirmed_turnaround,38.1,100.0,100.0,90.2,96.1,66.7,52.9,0.0,70.40458721068948,74.59727385377946,91.66283104546021,66.77443850404958,False,,20240102,76000.0,True,19,True,19,True,23,-11.58
2024-01,20240101,009900,명신산업,75.0,confirmed_turnaround,55.8,100.0,39.4,93.5,,47.4,99.0,3.3208232239587985,100.0,88.68894601542415,37.7517569183748,50.07449249588428,False,,20240102,19060.0,False,,False,,False,,-14.74
2024-01,20240101,042700,한미반도체,74.7,confirmed_turnaround,85.3,100.0,100.0,0.0,,58.6,91.2,28.810435370175764,84.99143928752167,65.30920060331823,56.037976071190386,100.0,False,,20240102,61700.0,True,27,True,27,True,27,-17.18
2024-01,20240101,000880,한화,74.4,confirmed_turnaround,37.1,82.6,100.0,86.3,78.4,48.5,99.0,6.535275599492785,100.0,97.10424710424711,5.876730631238461,100.0,False,,20240102,25650.0,True,20,True,22,True,22,-11.11
2024-01,20240101,319660,피에스케이,73.7,confirmed_turnaround,15.4,92.7,100.0,86.5,75.7,80.9,67.6,0.0,95.33965746408283,100.0,38.908024225905955,50.17301739884531,False,,20240102,21100.0,True,29,False,,False,,-7.44
2024-01,20240101,004020,현대제철,73.3,confirmed_turnaround,61.1,100.0,100.0,52.9,,23.0,88.2,0.0,91.36436920596528,97.95361527967259,37.82799061650783,100.0,False,,20240102,36250.0,False,,False,,False,,-14.48
2024-01,20240101,035420,NAVER,72.0,confirmed_turnaround,28.0,82.1,100.0,78.4,94.1,66.9,75.5,0.0,100.0,95.57522123893804,29.51552780867396,53.93831451507971,False,,20240102,222500.0,True,7,False,,False,,-10.74
2024-01,20240101,316140,우리금융지주,70.5,confirmed_turnaround,52.7,100.0,57.8,51.4,,49.1,99.0,0.0,88.93722109667766,98.46625766871163,42.85074185513045,68.38597702513721,False,,20240102,12850.0,True,19,True,21,True,22,-3.66
2024-01,20240101,222080,SFA넥셀,69.9,confirmed_turnaround,0.0,96.1,75.7,68.6,,93.9,91.2,0.0,98.30283376413317,72.1030042918455,23.085627401618584,56.94628461689075,False,,20240102,11080.0,True,3,False,,False,,-15.16
2024-01,20240101,138930,BNK금융지주,69.5,confirmed_turnaround,33.2,100.0,80.0,54.9,,43.3,98.0,84.29326320876186,64.51379380891686,94.45983379501385,47.39774731867947,58.704148580622174,False,,20240102,7110.0,True,19,True,22,True,22,-3.94
2024-01,20240101,096770,SK이노베이션,69.5,confirmed_turnaround,66.9,62.3,82.4,92.2,,22.6,99.0,0.0,52.29344867024266,51.125401929260406,83.57039685133628,100.0,False,,20240102,139800.0,False,,False,,False,,-23.1
2024-01,20240101,090430,아모레퍼시픽,69.5,confirmed_turnaround,69.1,52.4,95.6,82.4,,71.8,57.8,0.0,100.0,100.0,61.757627743778585,100.0,False,,20240102,144800.0,False,,False,,False,,-19.2
