ticker,name,score,status,buy_date,buy_price,sell_date,sell_price,sell_reason,holding_trading_days,return_pct,open_position
004370,농심,72.8,confirmed_turnaround,20220701,269000.0,20220701,282450.0,+5%,0,5.0,False
306200,세아제강,67.8,confirmed_turnaround,20220701,153500.0,20220701,161175.0,+5%,0,5.0,False
019170,신풍제약,70.3,confirmed_turnaround,20220711,25050.0,20220711,26302.5,+5%,0,5.0,False
145020,휴젤,68.5,confirmed_turnaround,20220712,110000.0,20220712,115500.0,+5%,0,5.0,False
192820,코스맥스,65.8,confirmed_turnaround,20220711,61700.0,20220714,64785.0,+5%,3,5.0,False
010690,화신,66.0,confirmed_turnaround,20220701,9440.0,20220719,9912.0,+5%,12,5.0,False
069620,대웅제약,73.7,confirmed_turnaround,20220701,178000.0,20220719,186900.0,+5%,12,5.0,False
012330,현대모비스,67.4,confirmed_turnaround,20220715,211000.0,20220720,221550.0,+5%,3,5.0,False
402340,SK스퀘어,71.1,confirmed_turnaround,20220714,40450.0,20220727,42472.5,+5%,9,5.0,False
322000,HD현대에너지솔루션,66.5,confirmed_turnaround,20220728,36550.0,20220728,38377.5,+5%,0,5.0,False
006260,LS,65.3,confirmed_turnaround,20220701,64700.0,20220801,59400.0,만기청산(30일),21,-8.19,False
010620,HD현대미포,75.2,confirmed_turnaround,20220701,92000.0,20220801,95000.0,만기청산(30일),21,3.26,False
100090,SK오션플랜트,67.7,confirmed_turnaround,20220701,23350.0,20220801,24000.0,만기청산(30일),21,2.78,False
267270,HD건설기계,68.1,confirmed_turnaround,20220701,45400.0,20220801,38700.0,만기청산(30일),21,-14.76,False
004690,삼천리,75.5,confirmed_turnaround,20220729,185000.0,20220808,194250.0,+5%,6,5.0,False
008930,한미사이언스,67.0,confirmed_turnaround,20220708,41950.0,20220808,42100.0,만기청산(30일),21,0.36,False
179290,엠아이텍,65.3,confirmed_turnaround,20220726,10300.0,20220808,10815.0,+5%,9,5.0,False
000720,현대건설,66.5,confirmed_turnaround,20220727,41700.0,20220810,43785.0,+5%,10,5.0,False
004990,롯데지주,65.2,confirmed_turnaround,20220802,37300.0,20220810,39165.0,+5%,6,5.0,False
051600,한전KPS,65.7,confirmed_turnaround,20220802,38950.0,20220810,40897.5,+5%,6,5.0,False
053800,안랩,92.4,confirmed_turnaround,20220712,90000.0,20220810,94500.0,+5%,21,5.0,False
003550,LG,65.0,confirmed_turnaround,20220727,79000.0,20220811,82950.0,+5%,11,5.0,False
034220,LG디스플레이,70.9,confirmed_turnaround,20220811,16000.0,20220812,16800.0,+5%,1,5.0,False
048410,현대바이오,68.2,confirmed_turnaround,20220811,28600.0,20220812,30030.0,+5%,1,5.0,False
081660,미스토홀딩스,67.3,confirmed_turnaround,20220802,30300.0,20220812,31815.0,+5%,8,5.0,False
016380,KG스틸,70.2,confirmed_turnaround,20220812,12800.0,20220816,13440.0,+5%,1,5.0,False
017960,한국카본,65.3,confirmed_turnaround,20220817,14150.0,20220819,14857.5,+5%,2,5.0,False
007660,이수페타시스,65.4,confirmed_turnaround,20220802,7720.0,20220901,6590.0,만기청산(30일),21,-14.64,False
003220,대원제약,69.8,confirmed_turnaround,20220809,18900.0,20220908,16300.0,만기청산(30일),21,-13.76,False
068270,셀트리온,67.8,confirmed_turnaround,20220809,205500.0,20220908,184000.0,만기청산(30일),21,-10.46,False
