ticker,name,volume_ratio,buy_date,buy_price,sell_date,sell_price,sell_reason,holding_trading_days,return_pct,open_position
256840,한국비엔씨,4.23,20220706,8116.2,20220715,12350.25,트레일링스톱-10%,7,52.17,False
258830,세종메디칼,3.88,20220706,3622.23,20220720,7239.49,트레일링스톱-10%,10,99.86,False
003000,부광약품,19.44,20220718,9639.24,20220722,9700.56,트레일링스톱-10%,4,0.64,False
041190,우리기술투자,19.54,20220721,6342.66,20220726,6251.47,트레일링스톱-10%,3,-1.44,False
053030,바이넥스,3.38,20220706,14829.6,20220726,14326.29,트레일링스톱-10%,14,-3.39,False
121800,비덴트,9.29,20220727,12925.8,20220729,11856.24,트레일링스톱-10%,2,-8.27,False
137950,제이씨케미칼,9.73,20220726,8336.64,20220729,8784.4,트레일링스톱-10%,3,5.37,False
002900,TYM,10.07,20220727,2645.28,20220802,2523.94,트레일링스톱-10%,4,-4.59,False
322000,HD현대에너지솔루션,10.61,20220801,49699.2,20220804,51017.76,트레일링스톱-10%,3,2.65,False
214370,케어젠,7.86,20220721,112123.8,20220809,137514.42,트레일링스톱-10%,13,22.65,False
101730,위메이드맥스,18.69,20220805,22044.0,20220810,22095.72,트레일링스톱-10%,3,0.23,False
145720,덴티움,11.73,20220810,94989.6,20220818,96107.4,트레일링스톱-10%,5,1.18,False
100130,동국S&C,29.05,20220801,7014.0,20220901,6961.05,트레일링스톱-10%,22,-0.75,False
000720,현대건설,9.34,20220811,47094.0,20220907,44236.35,트레일링스톱-10%,18,-6.07,False
004370,농심,3.88,20220704,285570.0,20220907,286525.8,트레일링스톱-10%,46,0.33,False
102280,쌍방울,57.54,20220902,527.05,20220907,492.21,트레일링스톱-10%,3,-6.61,False
097950,CJ제일제당,9.97,20220810,427353.0,20220914,384878.7,트레일링스톱-10%,22,-9.94,False
069260,TKG휴켐스,6.96,20220908,23446.8,20220916,21422.07,트레일링스톱-10%,4,-8.64,False
294140,레몬,8.36,20220908,6252.48,20220919,5615.98,트레일링스톱-10%,5,-10.18,False
192080,더블유게임즈,10.3,20220831,43186.2,20220928,40508.82,트레일링스톱-10%,18,-6.2,False
194480,데브시스터즈,2.79,20220928,45190.2,20220929,40589.84,트레일링스톱-10%,1,-10.18,False
015860,일진홀딩스,16.41,20220929,4488.96,20220930,4248.49,트레일링스톱-10%,1,-5.36,False
022100,포스코DX,2.96,20220928,6613.2,20220930,6017.94,트레일링스톱-10%,2,-9.0,False
142760,모아라이프플러스,4.04,20220928,4964.91,20220930,4634.71,트레일링스톱-10%,2,-6.65,False
249420,일동제약,7.5,20220929,30711.3,20220930,29595.69,트레일링스톱-10%,1,-3.63,False
298380,에이비엘바이오,5.83,20220930,20591.1,20221007,19401.12,트레일링스톱-10%,4,-5.78,False
179290,엠아이텍,5.63,20221004,13376.7,20221011,12978.99,트레일링스톱-10%,4,-2.97,False
036540,SFA반도체,4.98,20221026,4799.58,20221028,4311.36,트레일링스톱-10%,2,-10.17,False
084370,유진테크,3.97,20221026,23246.4,20221028,22050.81,트레일링스톱-10%,2,-5.14,False
166090,하나머티리얼즈,3.79,20221026,33867.6,20221028,30538.8,트레일링스톱-10%,2,-9.83,False
002900,TYM,4.9,20221031,2369.73,20221103,2290.41,트레일링스톱-10%,3,-3.35,False
213420,덕산네오룩스,4.36,20221026,38526.9,20221103,36062.73,트레일링스톱-10%,6,-6.4,False
