ticker,name,volume_ratio,buy_date,buy_price,sell_date,sell_price,sell_reason,holding_trading_days,return_pct,open_position
004370,농심,3.88,20220704,285570.0,20220929,307384.0,고정60일만기,60,7.64,False
053030,바이넥스,3.38,20220706,14829.6,20221004,11976.0,고정60일만기,60,-19.24,False
256840,한국비엔씨,4.23,20220706,8116.2,20221004,6337.3,고정60일만기,60,-21.92,False
258830,세종메디칼,3.88,20220706,3622.23,20221004,5568.84,고정60일만기,60,53.74,False
142760,모아라이프플러스,4.04,20220928,4964.91,20221223,3872.24,고정60일만기,60,-22.01,False
298380,에이비엘바이오,5.83,20220930,20591.1,20221227,22804.3,고정60일만기,60,10.75,False
036540,SFA반도체,4.98,20221026,4799.58,20230120,4191.6,고정60일만기,60,-12.67,False
101490,에스앤에스텍,4.78,20221026,25450.8,20230120,28343.2,고정60일만기,60,11.36,False
213420,덕산네오룩스,4.36,20221026,38526.9,20230120,34680.5,고정60일만기,60,-9.98,False
141080,리가켐바이오,33.39,20221226,41182.2,20230327,34780.3,고정60일만기,60,-15.55,False
161890,한국콜마,3.54,20221228,43887.6,20230329,42265.3,고정60일만기,60,-3.7,False
078890,가온그룹,7.89,20230125,8316.6,20230420,8083.8,고정60일만기,60,-2.8,False
085370,루트로닉,6.31,20230125,22044.0,20230420,27245.4,고정60일만기,60,23.6,False
322780,코퍼스코리아,10.01,20230125,3456.9,20230420,2684.62,고정60일만기,60,-22.34,False
093370,후성,23.63,20230330,17264.46,20230628,12804.34,고정60일만기,60,-25.83,False
010820,퍼스텍,32.52,20230421,4659.3,20230720,3957.07,고정60일만기,60,-15.07,False
064350,현대로템,18.34,20230421,32114.1,20230720,32435.0,고정60일만기,60,1.0,False
065450,빅텍,40.99,20230421,5761.5,20230720,4665.65,고정60일만기,60,-19.02,False
137310,에스디바이오센서,8.51,20230421,22945.8,20230720,12075.8,고정60일만기,60,-47.37,False
011200,HMM,8.61,20230721,21092.1,20231023,13942.06,고정60일만기,60,-33.9,False
107600,새빗켐,11.09,20230721,99298.2,20231023,58981.8,고정60일만기,60,-40.6,False
272290,이녹스첨단소재,17.16,20230721,47394.6,20231023,27794.3,고정60일만기,60,-41.36,False
190510,나무가,19.42,20230727,14709.36,20231027,10479.0,고정60일만기,60,-28.76,False
297890,HB솔루션,73.58,20230629,20440.8,,,,123,0.0,True
319400,현대무벡스,62.08,20231025,3171.33,,,,45,6.9,True
368770,파이버프로,11.48,20231025,3216.42,,,,45,4.0,True
182400,엔케이젠바이오텍코리아,16.89,20231030,12605.16,,,,42,0.0,True
